#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3300.03356523	0.0	0.0	4.02591081169e-17
3300.2335487	0.0	0.0	4.02607098093e-17
3300.43353218	0.0	0.0	4.05405181098e-17
3300.63351565	0.0	0.0	4.00345352031e-17
3300.83349913	0.0	0.0	4.04658332495e-17
3301.0334826	0.0	0.0	3.93025998279e-17
3301.23346608	0.0	0.0	3.96668981048e-17
3301.43344955	0.0	0.0	3.85770886853e-17
3301.63343303	0.0	0.0	3.91116791773e-17
3301.8334165	0.0	0.0	3.77169269762e-17
3302.03339998	0.0	0.0	3.86253262629e-17
3302.23338345	0.0	0.0	3.73076499495e-17
3302.43336693	0.0	0.0	3.70210352656e-17
3302.6333504	0.0	0.0	3.72940397359e-17
3302.83333388	0.0	0.0	3.78839061028e-17
3303.03331735	0.0	0.0	3.88362319745e-17
3303.23430075	0.0	0.0	3.95201669328e-17
3303.43428422	0.0	0.0	3.84100253796e-17
3303.6342677	0.0	0.0	3.813295185e-17
3303.83425117	0.0	0.0	3.73638814549e-17
3304.03423465	0.0	0.0	3.83797052285e-17
3304.23421812	0.0	0.0	3.8126804005e-17
3304.4342016	0.0	0.0	3.84237743692e-17
3304.63418507	0.0	0.0	3.88279313373e-17
3304.83416855	-1.25334797916e-18	-1.25334797916e-18	3.85571387187e-17
3305.03415202	-3.16016322798e-18	-3.16016322798e-18	3.81889364507e-17
3305.2341355	-1.02116550038e-17	-1.02116550038e-17	3.75445702335e-17
3305.43411897	-3.16016322798e-18	-3.16016322798e-18	3.7969824769e-17
3305.63410245	-3.16016322798e-18	-3.16016322798e-18	3.74230519842e-17
3305.83408593	-3.16016322798e-18	-3.16016322798e-18	3.85544329856e-17
3306.0340694	-3.16016322798e-18	-3.16016322798e-18	3.94689587438e-17
3306.23405288	-3.16016322798e-18	-3.16016322798e-18	3.91857649982e-17
3306.43403635	-1.18502346516e-17	-1.18502346516e-17	3.81302330042e-17
3306.63401983	-1.18502346516e-17	-1.18502346516e-17	3.94510822818e-17
3306.8340033	-1.28362450897e-17	-1.28362450897e-17	3.82938806938e-17
3307.03398678	-1.28362450897e-17	-1.28362450897e-17	3.83469254335e-17
3307.23397025	-1.61528226469e-17	-1.61528226469e-17	3.71602865587e-17
3307.43395373	-1.28362450897e-17	-1.28362450897e-17	3.78018767536e-17
3307.63393721	-1.18502346516e-17	-1.18502346516e-17	3.87816664738e-17
3307.83392068	-3.16016322798e-18	-3.16016322798e-18	3.82030758415e-17
3308.03390416	-3.16016322798e-18	-3.16016322798e-18	3.81446507346e-17
3308.23388763	-1.18502346516e-17	-1.18502346516e-17	3.81647727165e-17
3308.43387111	-1.28362450897e-17	-1.28362450897e-17	3.73932588964e-17
3308.6348545	-1.18502346516e-17	-1.18502346516e-17	3.81250781856e-17
3308.83483798	-3.16016322798e-18	-3.16016322798e-18	3.89528700422e-17
3309.03482145	-3.16016322798e-18	-3.16016322798e-18	3.8150171376e-17
3309.23480493	-5.18801203494e-18	-5.18801203494e-18	3.72584154949e-17
3309.4347884	-5.18801203494e-18	-5.18801203494e-18	3.71178730368e-17
3309.63477188	-5.18801203494e-18	-5.18801203494e-18	3.8265982831e-17
3309.83475536	-1.18502346516e-17	-1.18502346516e-17	3.8084065231e-17
3310.03473883	-1.28362450897e-17	-1.28362450897e-17	3.82496345397e-17
3310.23472231	-1.28362450897e-17	-1.28362450897e-17	3.88427121012e-17
3310.43470578	-1.18502346516e-17	-1.18502346516e-17	3.96861640249e-17
3310.63468926	-1.18502346516e-17	-1.18502346516e-17	3.92413302208e-17
3310.83467274	-5.18801203494e-18	-5.18801203494e-18	3.86331026274e-17
3311.03465621	1.37108947277e-18	1.37108947277e-18	3.84130974282e-17
3311.23463969	-5.18801203494e-18	-5.18801203494e-18	3.76276580109e-17
3311.43462316	-1.18502346516e-17	-1.18502346516e-17	3.81649724243e-17
3311.63460664	-1.28362450897e-17	-1.28362450897e-17	3.93170464764e-17
3311.83459012	-1.660702407e-17	-1.660702407e-17	3.89338595781e-17
3312.03457359	-1.660702407e-17	-1.660702407e-17	3.88840880187e-17
3312.23455707	-1.660702407e-17	-1.660702407e-17	3.866491692e-17
3312.43454054	-1.28362450897e-17	-1.28362450897e-17	3.91085911392e-17
3312.63452402	-1.6526373925e-17	-1.6526373925e-17	3.84482464952e-17
3312.8345075	-1.6526373925e-17	-1.6526373925e-17	3.85758402921e-17
3313.03449097	-1.6526373925e-17	-1.6526373925e-17	3.88546315312e-17
3313.23447445	-1.660702407e-17	-1.660702407e-17	3.76008017954e-17
3313.43445793	-1.660702407e-17	-1.660702407e-17	3.79490768694e-17
3313.6344414	-1.6526373925e-17	-1.6526373925e-17	3.93120121623e-17
3313.83442488	-1.10089959159e-17	-1.10089959159e-17	3.94793579337e-17
3314.03440835	-1.20196516078e-17	-1.20196516078e-17	3.8488423298e-17
3314.23539175	-1.20196516078e-17	-1.20196516078e-17	3.79690027139e-17
3314.43537522	-1.10089959159e-17	-1.10089959159e-17	3.84175955803e-17
3314.6353587	-5.18801203494e-18	-5.18801203494e-18	3.90804740036e-17
3314.83534218	-5.18801203494e-18	-5.18801203494e-18	3.82265595568e-17
3315.03532565	-4.60368029341e-18	-4.60368029341e-18	3.76017962931e-17
3315.23530913	-4.60368029341e-18	-4.60368029341e-18	3.77657885056e-17
