#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3300.05656333	0.0	0.0	1.78993222005e-17
3300.2565468	0.0	0.0	1.77556972703e-17
3300.45653028	0.0	0.0	1.87817675517e-17
3300.65651375	0.0	0.0	1.76082074569e-17
3300.85649723	0.0	0.0	1.69744076278e-17
3301.0564807	0.0	0.0	1.71250930305e-17
3301.25646418	0.0	0.0	1.8124833788e-17
3301.45644765	0.0	0.0	1.69977698142e-17
3301.65743104	0.0	0.0	1.72758229551e-17
3301.85741452	0.0	0.0	1.69299981147e-17
3302.05739799	0.0	0.0	1.78285392855e-17
3302.25738147	0.0	0.0	1.79208665154e-17
3302.45736494	0.0	0.0	1.7952600164e-17
3302.65734842	0.0	0.0	1.77586341891e-17
3302.85733189	0.0	0.0	1.73548965932e-17
3303.05731537	0.0	0.0	1.74392448343e-17
3303.25729884	3.84566646747e-20	3.84566646747e-20	1.78800491229e-17
3303.45728232	8.50200280614e-19	8.50200280614e-19	1.77510737739e-17
3303.6572658	1.49085327733e-18	1.49085327733e-18	1.82626700495e-17
3303.85724927	2.9629070023e-18	2.9629070023e-18	1.81349191485e-17
3304.05723275	2.9629070023e-18	2.9629070023e-18	1.74720185917e-17
3304.25721622	2.9629070023e-18	2.9629070023e-18	1.81084985373e-17
3304.4571997	2.9629070023e-18	2.9629070023e-18	1.78837014721e-17
3304.65718317	3.04933344533e-18	3.04933344533e-18	1.77714948957e-17
3304.85716665	3.67138312111e-18	3.67138312111e-18	1.69465759056e-17
3305.05715012	3.92190826193e-18	3.92190826193e-18	1.72444671033e-17
3305.2571336	3.92190826193e-18	3.92190826193e-18	1.80274604786e-17
3305.45711707	4.0031095764e-18	4.0031095764e-18	1.72437397943e-17
3305.65710055	4.0031095764e-18	4.0031095764e-18	1.85263958474e-17
3305.85708402	4.0031095764e-18	4.0031095764e-18	1.77115462745e-17
3306.0570675	4.0031095764e-18	4.0031095764e-18	1.8357294646e-17
3306.25705098	4.14608520203e-18	4.14608520203e-18	1.82012421069e-17
3306.45703445	4.0031095764e-18	4.0031095764e-18	1.77454971123e-17
3306.65701793	4.0031095764e-18	4.0031095764e-18	1.83238868455e-17
3306.85800132	4.14608520203e-18	4.14608520203e-18	1.82667275722e-17
3307.0579848	4.41388376013e-18	4.41388376013e-18	1.784326621e-17
3307.25796827	4.41388376013e-18	4.41388376013e-18	1.795836289e-17
3307.45795175	4.41388376013e-18	4.41388376013e-18	1.80578060862e-17
3307.65793522	4.14608520203e-18	4.14608520203e-18	1.78529519969e-17
3307.8579187	4.14608520203e-18	4.14608520203e-18	1.70775506902e-17
3308.05790217	4.14608520203e-18	4.14608520203e-18	1.76128386361e-17
3308.25788565	4.41388376013e-18	4.41388376013e-18	1.84056462862e-17
3308.45786913	4.58026957095e-18	4.58026957095e-18	1.85730789996e-17
3308.6578526	4.65994378882e-18	4.65994378882e-18	1.78163668286e-17
3308.85783608	4.65994378882e-18	4.65994378882e-18	1.7926611808e-17
3309.05781955	4.65994378882e-18	4.65994378882e-18	1.78906405067e-17
3309.25780303	4.70173424003e-18	4.70173424003e-18	1.74970209291e-17
3309.4577865	4.72378821376e-18	4.72378821376e-18	1.76206381635e-17
3309.65776998	4.72378821376e-18	4.72378821376e-18	1.80460334862e-17
3309.85775346	4.70173424003e-18	4.70173424003e-18	1.87509789064e-17
3310.05773693	4.70173424003e-18	4.70173424003e-18	1.87253903191e-17
3310.25772041	4.70173424003e-18	4.70173424003e-18	1.86840859076e-17
3310.45770388	4.65994378882e-18	4.65994378882e-18	1.81268160205e-17
3310.65768736	4.41388376013e-18	4.41388376013e-18	1.90358768914e-17
3310.85767084	4.41388376013e-18	4.41388376013e-18	1.84045159614e-17
3311.05765431	4.41388376013e-18	4.41388376013e-18	1.76316246315e-17
