#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3300.02256614	1.55944531484e-17	1.55944531484e-17	3.37889787648e-17
3300.22254961	3.04449616201e-17	3.04449616201e-17	3.57175383631e-17
3300.42253309	4.00300797261e-17	4.00300797261e-17	3.40770758253e-17
3300.62251656	4.27379387072e-17	4.27379387072e-17	3.46132066866e-17
3300.82250004	4.5149794674e-17	4.5149794674e-17	3.57838538975e-17
3301.02248351	4.83475723344e-17	4.83475723344e-17	3.62107004132e-17
3301.22246699	4.99138537289e-17	4.99138537289e-17	3.52243909934e-17
3301.42245046	4.99138537289e-17	4.99138537289e-17	3.32658806834e-17
3301.62243394	5.19845558824e-17	5.19845558824e-17	3.40490630147e-17
3301.82241741	5.19845558824e-17	5.19845558824e-17	3.57525944463e-17
3302.02240089	5.19925498122e-17	5.19925498122e-17	3.35753979283e-17
3302.22238436	5.22711572216e-17	5.22711572216e-17	3.34781806338e-17
3302.42236784	5.41599669147e-17	5.41599669147e-17	3.3906499408e-17
3302.62235131	5.91198745266e-17	5.91198745266e-17	3.41381297267e-17
3302.82233479	5.91198745266e-17	5.91198745266e-17	3.4433899801e-17
3303.02231826	5.98642356818e-17	5.98642356818e-17	3.46215045189e-17
3303.22230174	5.98642356818e-17	5.98642356818e-17	3.5641244667e-17
3303.42228521	6.24433906083e-17	6.24433906083e-17	3.5000784985e-17
3303.62226869	6.24433906083e-17	6.24433906083e-17	3.47587310125e-17
3303.82325208	6.24433906083e-17	6.24433906083e-17	3.49232923094e-17
3304.02323556	6.24433906083e-17	6.24433906083e-17	3.38886447212e-17
3304.22321903	6.45586695644e-17	6.45586695644e-17	3.31765696051e-17
3304.42320251	6.45955437053e-17	6.45955437053e-17	3.43275666392e-17
3304.62318598	6.73298165894e-17	6.73298165894e-17	3.43245984894e-17
3304.82316946	6.73298165894e-17	6.73298165894e-17	3.49780363374e-17
3305.02315293	6.89808416459e-17	6.89808416459e-17	3.47343497483e-17
3305.22313641	6.918704226e-17	6.918704226e-17	3.50187180255e-17
3305.42311988	6.89808416459e-17	6.89808416459e-17	3.48438508402e-17
3305.62310336	6.89808416459e-17	6.89808416459e-17	3.49419541468e-17
3305.82308683	6.89808416459e-17	6.89808416459e-17	3.45042989853e-17
3306.02307031	6.73298165894e-17	6.73298165894e-17	3.45058698864e-17
3306.22305379	6.59283581996e-17	6.59283581996e-17	3.51039444818e-17
3306.42303726	6.45955437053e-17	6.45955437053e-17	3.42305347756e-17
3306.62302074	6.45955437053e-17	6.45955437053e-17	3.47346951629e-17
3306.82300421	6.45586695644e-17	6.45586695644e-17	3.3877786749e-17
3307.02298769	6.45586695644e-17	6.45586695644e-17	3.53856061786e-17
3307.22297116	6.45955437053e-17	6.45955437053e-17	3.49631705082e-17
3307.42295464	6.45955437053e-17	6.45955437053e-17	3.46899895946e-17
3307.62293811	6.30973634227e-17	6.30973634227e-17	3.50531818439e-17
3307.82292159	5.98642356818e-17	5.98642356818e-17	3.40586731316e-17
3308.02290507	5.98642356818e-17	5.98642356818e-17	3.49935539262e-17
3308.22288854	6.30973634227e-17	6.30973634227e-17	3.40554112688e-17
3308.42287202	6.17671650975e-17	6.17671650975e-17	3.47710510459e-17
3308.62285549	5.98642356818e-17	5.98642356818e-17	3.34413934723e-17
3308.82283897	5.98642356818e-17	5.98642356818e-17	3.32287063461e-17
3309.02282244	5.98642356818e-17	5.98642356818e-17	3.40384096253e-17
3309.22280592	6.17671650975e-17	6.17671650975e-17	3.49126947798e-17
3309.42378931	6.30973634227e-17	6.30973634227e-17	3.51670575231e-17
3309.62377279	6.59283581996e-17	6.59283581996e-17	3.49580715738e-17
3309.82375627	6.59283581996e-17	6.59283581996e-17	3.48673826254e-17
3310.02373974	6.59283581996e-17	6.59283581996e-17	3.53708505946e-17
3310.22372322	6.72334882464e-17	6.72334882464e-17	3.64888277454e-17
3310.42370669	6.59283581996e-17	6.59283581996e-17	3.40906082329e-17
3310.62369017	6.59283581996e-17	6.59283581996e-17	3.41098017751e-17
3310.82367365	6.59283581996e-17	6.59283581996e-17	3.3918993178e-17
3311.02365712	6.72334882464e-17	6.72334882464e-17	3.48373005393e-17
3311.2236406	6.72334882464e-17	6.72334882464e-17	3.43543499849e-17
3311.42362407	6.72334882464e-17	6.72334882464e-17	3.46521820208e-17
3311.62360755	6.73298165894e-17	6.73298165894e-17	3.47876234655e-17
3311.82359103	6.82905259588e-17	6.82905259588e-17	3.51816801612e-17
3312.0235745	6.88490053601e-17	6.88490053601e-17	3.54704575408e-17
3312.22355798	6.88490053601e-17	6.88490053601e-17	3.53150544899e-17
3312.42354145	6.88490053601e-17	6.88490053601e-17	3.44603099103e-17
3312.62352493	6.89991597118e-17	6.89991597118e-17	3.42271214386e-17
3312.82350841	6.89991597118e-17	6.89991597118e-17	3.36471237838e-17
3313.02349188	6.918704226e-17	6.918704226e-17	3.42111324431e-17
3313.22347536	6.89991597118e-17	6.89991597118e-17	3.51162832624e-17
3313.42345883	6.89991597118e-17	6.89991597118e-17	3.38777757813e-17
3313.62344231	6.88490053601e-17	6.88490053601e-17	3.44021637426e-17
3313.82342579	6.88490053601e-17	6.88490053601e-17	3.52078102532e-17
3314.02340926	6.88490053601e-17	6.88490053601e-17	3.55484993048e-17
3314.22339274	6.88490053601e-17	6.88490053601e-17	3.54861012142e-17
3314.42337622	6.82905259588e-17	6.82905259588e-17	3.57287590244e-17
3314.62335969	6.72334882464e-17	6.72334882464e-17	3.59241250504e-17
3314.82334317	6.59283581996e-17	6.59283581996e-17	3.48992803554e-17
3315.02432656	6.72334882464e-17	6.72334882464e-17	3.43694029005e-17
3315.22431004	6.72334882464e-17	6.72334882464e-17	3.43008786006e-17
3315.42429352	6.72334882464e-17	6.72334882464e-17	3.39633059412e-17
3315.62427699	6.72334882464e-17	6.72334882464e-17	3.49078161109e-17
3315.82426047	6.72334882464e-17	6.72334882464e-17	3.52710211259e-17
3316.02424394	6.82905259588e-17	6.82905259588e-17	3.56281737676e-17
3316.22422742	6.82905259588e-17	6.82905259588e-17	3.57599580503e-17
3316.4242109	6.82905259588e-17	6.82905259588e-17	3.54638415605e-17
3316.62419437	6.82905259588e-17	6.82905259588e-17	3.53618969609e-17
3316.82417785	6.88490053601e-17	6.88490053601e-17	3.54902570502e-17
3317.02416133	6.89991597118e-17	6.89991597118e-17	3.52636713949e-17
3317.2241448	6.94721701662e-17	6.94721701662e-17	3.46830022759e-17
3317.42412828	6.89991597118e-17	6.89991597118e-17	3.3236759169e-17
3317.62411176	6.89991597118e-17	6.89991597118e-17	3.52834915545e-17
