#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3300.02856564	0.0	0.0	2.9999160488e-17
3300.22854911	0.0	0.0	3.00765352361e-17
3300.42853259	0.0	0.0	2.9705594776e-17
3300.62851606	0.0	0.0	2.83986975007e-17
3300.82849954	0.0	0.0	2.78062715786e-17
3301.02848301	0.0	0.0	2.92004701434e-17
3301.22846649	0.0	0.0	2.81070733987e-17
3301.42844996	0.0	0.0	2.81835238443e-17
3301.62843344	0.0	0.0	2.78487979991e-17
3301.82841691	0.0	0.0	2.93899527455e-17
3302.02840039	0.0	0.0	2.79853988281e-17
3302.22838386	0.0	0.0	2.69731324063e-17
3302.42836734	0.0	0.0	2.82094972688e-17
3302.62835082	0.0	0.0	2.93256437009e-17
3302.82833429	0.0	0.0	2.95118767765e-17
3303.02831777	0.0	0.0	2.96638066862e-17
3303.22830124	0.0	0.0	2.95040061932e-17
3303.42828472	0.0	0.0	2.91128600302e-17
3303.62826819	2.06270081678e-18	2.06270081678e-18	2.88866249132e-17
3303.82825167	2.06270081678e-18	2.06270081678e-18	2.9094847475e-17
3304.02823514	2.06270081678e-18	2.06270081678e-18	2.92426373e-17
3304.22821862	2.06270081678e-18	2.06270081678e-18	2.89478627182e-17
3304.42820209	2.36389302229e-18	2.36389302229e-18	2.8101630448e-17
3304.62818557	3.31004941225e-18	3.31004941225e-18	2.86427038212e-17
3304.82816904	4.30853397545e-18	4.30853397545e-18	2.78542125671e-17
3305.02815252	4.85713967775e-18	4.85713967775e-18	2.9463010641e-17
3305.22813599	4.30853397545e-18	4.30853397545e-18	2.82196475295e-17
3305.42811947	4.30853397545e-18	4.30853397545e-18	2.91896411326e-17
3305.62910286	4.30853397545e-18	4.30853397545e-18	2.89896257759e-17
3305.82908634	4.30853397545e-18	4.30853397545e-18	2.8987966805e-17
3306.02906981	4.30853397545e-18	4.30853397545e-18	2.93732690436e-17
3306.22905329	4.30853397545e-18	4.30853397545e-18	2.91478538967e-17
3306.42903676	4.85713967775e-18	4.85713967775e-18	2.99068794856e-17
3306.62902024	6.01194694589e-18	6.01194694589e-18	2.99396663841e-17
3306.82900372	6.26303955806e-18	6.26303955806e-18	2.96904935287e-17
3307.02898719	6.26303955806e-18	6.26303955806e-18	2.95022242698e-17
3307.22897067	6.26303955806e-18	6.26303955806e-18	2.90414794329e-17
3307.42895414	6.26303955806e-18	6.26303955806e-18	2.92128092525e-17
3307.62893762	6.26303955806e-18	6.26303955806e-18	2.91246380729e-17
3307.82892109	6.18761594225e-18	6.18761594225e-18	2.99382533663e-17
3308.02890457	6.18761594225e-18	6.18761594225e-18	2.91114896638e-17
3308.22888805	6.26303955806e-18	6.26303955806e-18	2.8723808997e-17
3308.42887152	6.26303955806e-18	6.26303955806e-18	2.91964103788e-17
3308.628855	6.30879474058e-18	6.30879474058e-18	2.92505182183e-17
3308.82883847	6.26303955806e-18	6.26303955806e-18	2.86477996168e-17
