#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3300.08856068	0.0	0.0	2.37367032933e-17
3300.28854416	0.0	0.0	2.30829512134e-17
3300.48852763	0.0	0.0	2.2247441498e-17
3300.68851111	0.0	0.0	2.30094304947e-17
3300.88849458	0.0	0.0	2.3001032388e-17
3301.08847806	0.0	0.0	2.21837120175e-17
3301.28846153	0.0	0.0	2.21809613059e-17
3301.48844501	0.0	0.0	2.15315780645e-17
3301.68842848	0.0	0.0	2.10914951778e-17
3301.88841196	0.0	0.0	2.14546501473e-17
3302.08839543	0.0	0.0	2.20645541323e-17
3302.28837891	0.0	0.0	2.21503499822e-17
3302.48836238	0.0	0.0	2.15363836166e-17
3302.68834586	0.0	0.0	2.25640575943e-17
3302.88832933	0.0	0.0	2.39311291406e-17
3303.08831281	0.0	0.0	2.34045451709e-17
3303.28829628	0.0	0.0	2.72590169908e-17
3303.48827976	0.0	0.0	2.31954792713e-17
3303.68826323	0.0	0.0	2.27219090507e-17
3303.88824671	0.0	0.0	2.22915078027e-17
3304.08823018	0.0	0.0	2.15639800913e-17
3304.28821366	0.0	0.0	2.11754062515e-17
3304.48919705	1.90125776722e-18	1.90125776722e-18	2.14085183789e-17
3304.68918053	2.31508048352e-18	2.31508048352e-18	2.1636946965e-17
3304.889164	2.61713151349e-18	2.61713151349e-18	2.26208083988e-17
3305.08914748	2.61713151349e-18	2.61713151349e-18	2.21939223379e-17
3305.28913095	2.31508048352e-18	2.31508048352e-18	2.22027481975e-17
3305.48911443	2.61713151349e-18	2.61713151349e-18	2.23160852986e-17
3305.68909791	2.93729137542e-18	2.93729137542e-18	2.1634781964e-17
3305.88908138	2.61713151349e-18	2.61713151349e-18	2.2451792799e-17
3306.08906486	2.61713151349e-18	2.61713151349e-18	2.2665918624e-17
3306.28904833	2.31508048352e-18	2.31508048352e-18	2.22625132335e-17
3306.48903181	1.90125776722e-18	1.90125776722e-18	2.34978342723e-17
3306.68901528	5.24534500056e-19	5.24534500056e-19	2.21533534147e-17
3306.88899876	1.90125776722e-18	1.90125776722e-18	2.25507225667e-17
3307.08898223	8.36057123275e-19	8.36057123275e-19	2.25510857037e-17
3307.28896571	8.36057123275e-19	8.36057123275e-19	2.32430096794e-17
3307.48894919	8.36057123275e-19	8.36057123275e-19	2.21577958602e-17
3307.68893266	1.90125776722e-18	1.90125776722e-18	2.13809368562e-17
3307.88891614	1.90125776722e-18	1.90125776722e-18	2.19617038637e-17
3308.08889961	8.36057123275e-19	8.36057123275e-19	2.18681177862e-17
3308.28888309	1.90125776722e-18	1.90125776722e-18	2.14654716553e-17
3308.48886656	1.90125776722e-18	1.90125776722e-18	2.10877912581e-17
3308.68885004	1.90125776722e-18	1.90125776722e-18	2.20536761631e-17
3308.88883352	2.31508048352e-18	2.31508048352e-18	2.16697239267e-17
3309.08881699	2.61713151349e-18	2.61713151349e-18	2.34976947386e-17
3309.28880047	2.61713151349e-18	2.61713151349e-18	2.22391787041e-17
3309.48878394	2.61713151349e-18	2.61713151349e-18	2.22069061839e-17
3309.68876742	2.61713151349e-18	2.61713151349e-18	2.26266245189e-17
3309.8887509	2.93729137542e-18	2.93729137542e-18	2.28404686872e-17
3310.08873437	2.61713151349e-18	2.61713151349e-18	2.30061694324e-17
3310.28871785	2.93729137542e-18	2.93729137542e-18	2.32195804135e-17
3310.48870132	2.93729137542e-18	2.93729137542e-18	2.40577189515e-17
3310.6886848	2.61713151349e-18	2.61713151349e-18	2.30840647406e-17
3310.88866827	2.93729137542e-18	2.93729137542e-18	2.30542156902e-17
3311.08865175	3.92056519839e-18	3.92056519839e-18	2.30587795745e-17
3311.28863523	2.93729137542e-18	2.93729137542e-18	2.28028459655e-17
3311.4886187	2.93729137542e-18	2.93729137542e-18	2.27304729638e-17
3311.68860218	2.93729137542e-18	2.93729137542e-18	2.26800084423e-17
3311.88958557	2.93729137542e-18	2.93729137542e-18	2.31390793457e-17
3312.08956905	3.90625706543e-18	3.90625706543e-18	2.22862433082e-17
3312.28955252	3.90625706543e-18	3.90625706543e-18	2.28079650816e-17
3312.489536	2.93729137542e-18	2.93729137542e-18	2.24794817563e-17
3312.68951948	2.61713151349e-18	2.61713151349e-18	2.2835298422e-17
3312.88950295	2.93729137542e-18	2.93729137542e-18	2.31597656489e-17
3313.08948643	2.93729137542e-18	2.93729137542e-18	2.23468176796e-17
3313.28946991	2.93729137542e-18	2.93729137542e-18	2.32464222536e-17
3313.48945338	2.93729137542e-18	2.93729137542e-18	2.3534156295e-17
3313.68943686	2.93729137542e-18	2.93729137542e-18	2.34253565072e-17
3313.88942033	8.36057123275e-19	8.36057123275e-19	2.39044769949e-17
3314.08940381	8.36057123275e-19	8.36057123275e-19	2.3508662297e-17
3314.28938729	8.36057123275e-19	8.36057123275e-19	2.29742567898e-17
3314.48937076	8.36057123275e-19	8.36057123275e-19	2.32853031127e-17
3314.68935424	8.36057123275e-19	8.36057123275e-19	2.28537465729e-17
3314.88933772	5.24534500056e-19	5.24534500056e-19	2.30041578579e-17
3315.08932119	-1.19968727588e-18	-1.19968727588e-18	2.17715831175e-17
3315.28930467	-1.49494776562e-18	-1.49494776562e-18	2.24411736306e-17
3315.48928815	-1.49494776562e-18	-1.49494776562e-18	2.22488378614e-17
3315.68927162	-2.02440433115e-18	-2.02440433115e-18	2.2872503169e-17
3315.8892551	-4.83126739241e-18	-4.83126739241e-18	2.31503506542e-17
3316.08923857	-4.83126739241e-18	-4.83126739241e-18	2.36468978945e-17
3316.28922205	-4.83126739241e-18	-4.83126739241e-18	2.11003570349e-17
3316.48920553	-1.49494776562e-18	-1.49494776562e-18	2.19908680816e-17
3316.689189	-1.49494776562e-18	-1.49494776562e-18	2.19225952728e-17
3316.88917248	-1.49494776562e-18	-1.49494776562e-18	2.20739303092e-17
