#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3300.05956308	0.0	0.0	2.41327187567e-17
3300.25954655	0.0	0.0	2.35670276318e-17
3300.45953003	0.0	0.0	2.36068426e-17
3300.6595135	0.0	0.0	2.341880788e-17
3300.85949698	0.0	0.0	2.34265665308e-17
3301.05948045	0.0	0.0	2.33702118715e-17
3301.25946393	0.0	0.0	2.4086303424e-17
3301.4594474	0.0	0.0	2.29157492242e-17
3301.6604308	0.0	0.0	2.39248827186e-17
3301.86041427	0.0	0.0	2.33157698781e-17
3302.06039775	0.0	0.0	2.36430586238e-17
3302.26038122	0.0	0.0	2.34990912873e-17
3302.4603647	0.0	0.0	2.28126303872e-17
3302.66034817	0.0	0.0	2.33692415208e-17
3302.86033165	0.0	0.0	2.31981424244e-17
3303.06031512	0.0	0.0	2.39390853727e-17
3303.2602986	0.0	0.0	2.3798841198e-17
3303.46028207	0.0	0.0	2.38114561752e-17
3303.66026555	0.0	0.0	2.41673658641e-17
3303.86024902	0.0	0.0	2.40395795714e-17
3304.0602325	-4.29241927488e-20	-4.29241927488e-20	2.39994454789e-17
3304.26021597	-1.74566673812e-19	-1.74566673812e-19	2.35778463333e-17
3304.46019945	-1.74566673812e-19	-1.74566673812e-19	2.36608809646e-17
3304.66018292	-1.74566673812e-19	-1.74566673812e-19	2.39408592445e-17
3304.8601664	-1.74566673812e-19	-1.74566673812e-19	2.43225756576e-17
3305.06014988	-1.74566673812e-19	-1.74566673812e-19	2.39845839104e-17
3305.26013335	-1.63051979075e-18	-1.63051979075e-18	2.37069948959e-17
3305.46011683	-1.63051979075e-18	-1.63051979075e-18	2.39769454938e-17
3305.6601003	-1.74675123891e-18	-1.74675123891e-18	2.42909138784e-17
3305.86008378	-1.63051979075e-18	-1.63051979075e-18	2.47822607306e-17
3306.06006725	-1.74566673812e-19	-1.74566673812e-19	2.43224610876e-17
3306.26005073	-1.74566673812e-19	-1.74566673812e-19	2.37926992128e-17
3306.4600342	-1.63051979075e-18	-1.63051979075e-18	2.39200742035e-17
3306.66001768	-1.63051979075e-18	-1.63051979075e-18	2.41451925019e-17
3306.86000115	-1.74675123891e-18	-1.74675123891e-18	2.37050061447e-17
3307.06098455	-1.93973369812e-18	-1.93973369812e-18	2.36407104362e-17
3307.26096802	-1.74675123891e-18	-1.74675123891e-18	2.40220377869e-17
3307.4609515	-1.74675123891e-18	-1.74675123891e-18	2.40330102802e-17
3307.66093497	-1.74675123891e-18	-1.74675123891e-18	2.36570921147e-17
3307.86091845	-1.74675123891e-18	-1.74675123891e-18	2.376097725e-17
3308.06090193	-1.63051979075e-18	-1.63051979075e-18	2.37184716586e-17
3308.2608854	-1.63051979075e-18	-1.63051979075e-18	2.3925126664e-17
3308.46086888	-1.63051979075e-18	-1.63051979075e-18	2.35963871043e-17
3308.66085235	4.13145905672e-19	4.13145905672e-19	2.31467877645e-17
3308.86083583	6.52865190312e-19	6.52865190312e-19	2.32415532341e-17
3309.06081931	8.85335368129e-19	8.85335368129e-19	2.34825298182e-17
3309.26080278	4.20285492991e-18	4.20285492991e-18	2.29927731534e-17
3309.46078626	4.87020491609e-18	4.87020491609e-18	2.41511354196e-17
3309.66076973	4.87020491609e-18	4.87020491609e-18	2.40422432048e-17
3309.86075321	4.87020491609e-18	4.87020491609e-18	2.47648478115e-17
3310.06073668	5.25487879503e-18	5.25487879503e-18	2.52658189063e-17
3310.26072016	4.87020491609e-18	4.87020491609e-18	2.449066556e-17
3310.46070364	4.79262192788e-18	4.79262192788e-18	2.36329536e-17
3310.66068711	4.20285492991e-18	4.20285492991e-18	2.41004632597e-17
3310.86067059	1.34673086624e-18	1.34673086624e-18	2.49356163892e-17
3311.06065406	8.85335368129e-19	8.85335368129e-19	2.43349167157e-17
3311.26063754	8.85335368129e-19	8.85335368129e-19	2.4410685732e-17
3311.46062102	8.85335368129e-19	8.85335368129e-19	2.40141737935e-17
3311.66060449	6.52865190312e-19	6.52865190312e-19	2.41275898275e-17
3311.86058797	-1.63051979075e-18	-1.63051979075e-18	2.44221626595e-17
3312.06057144	-1.93973369812e-18	-1.93973369812e-18	2.46285233057e-17
3312.26155484	-1.63051979075e-18	-1.63051979075e-18	2.52362501838e-17
3312.46153831	-1.63051979075e-18	-1.63051979075e-18	2.4602611495e-17
3312.66152179	-1.93973369812e-18	-1.93973369812e-18	2.39245022358e-17
3312.86150527	-1.93973369812e-18	-1.93973369812e-18	2.40421995163e-17
3313.06148874	-2.99941197262e-18	-2.99941197262e-18	2.37627408656e-17
3313.26147222	-2.99941197262e-18	-2.99941197262e-18	2.4490300165e-17
3313.4614557	-1.93973369812e-18	-1.93973369812e-18	2.31874687845e-17
3313.66143917	-1.93973369812e-18	-1.93973369812e-18	2.43422818848e-17
3313.86142265	-1.93973369812e-18	-1.93973369812e-18	2.44890063208e-17
3314.06140612	-1.93973369812e-18	-1.93973369812e-18	2.47886660612e-17
3314.2613896	-1.93973369812e-18	-1.93973369812e-18	2.47674895409e-17
3314.46137308	-1.93973369812e-18	-1.93973369812e-18	2.4288704409e-17
3314.66135655	-2.99941197262e-18	-2.99941197262e-18	2.44131891315e-17
3314.86134003	-2.99941197262e-18	-2.99941197262e-18	2.44443850086e-17
3315.06132351	-2.99941197262e-18	-2.99941197262e-18	2.43650307426e-17
3315.26130698	-3.17130384779e-18	-3.17130384779e-18	2.38614609068e-17
3315.46129046	-3.17130384779e-18	-3.17130384779e-18	2.43565913151e-17
3315.66127394	-3.17130384779e-18	-3.17130384779e-18	2.35513326099e-17
3315.86125741	-3.17130384779e-18	-3.17130384779e-18	2.37762890087e-17
3316.06124089	-4.96158163482e-18	-4.96158163482e-18	2.43052160791e-17
3316.26122436	-4.96158163482e-18	-4.96158163482e-18	2.42723920982e-17
3316.46120784	-4.96158163482e-18	-4.96158163482e-18	2.38815692332e-17
3316.66119132	-3.17130384779e-18	-3.17130384779e-18	2.34444411907e-17
3316.86117479	-2.99941197262e-18	-2.99941197262e-18	2.40556887668e-17
3317.06115827	-2.99941197262e-18	-2.99941197262e-18	2.4088537165e-17
3317.26114175	-1.36287521613e-18	-1.36287521613e-18	2.42812127188e-17
3317.46112522	-2.99941197262e-18	-2.99941197262e-18	2.34647018379e-17
3317.66210862	-2.99941197262e-18	-2.99941197262e-18	2.31611659354e-17
3317.86209209	-2.99941197262e-18	-2.99941197262e-18	2.36236079805e-17
3318.06207557	-3.52540016055e-18	-3.52540016055e-18	2.2970958063e-17
3318.26205905	-4.96158163482e-18	-4.96158163482e-18	2.31216425852e-17
3318.46204252	-5.01130091212e-18	-5.01130091212e-18	2.40570114706e-17
3318.662026	-4.96158163482e-18	-4.96158163482e-18	2.42526539915e-17
3318.86200948	-5.01130091212e-18	-5.01130091212e-18	2.35982554294e-17
3319.06199296	-5.51815881837e-18	-5.51815881837e-18	2.36154222856e-17
3319.26197643	-6.11448271031e-18	-6.11448271031e-18	2.37919913516e-17
3319.46195991	-6.11448271031e-18	-6.11448271031e-18	2.34865936107e-17
3319.66194339	-6.11448271031e-18	-6.11448271031e-18	2.35807332835e-17
3319.86192686	-6.11448271031e-18	-6.11448271031e-18	2.36578505408e-17
3320.06191034	-6.11448271031e-18	-6.11448271031e-18	2.46968529628e-17
3320.26189382	-1.04146084926e-17	-1.04146084926e-17	2.34528686791e-17
3320.46187729	-1.04146084926e-17	-1.04146084926e-17	2.35416788176e-17
3320.66186077	-1.04146084926e-17	-1.04146084926e-17	2.32497281258e-17
3320.86184425	-1.04146084926e-17	-1.04146084926e-17	2.30906685709e-17
3321.06182772	-6.11448271031e-18	-6.11448271031e-18	2.30705787625e-17
3321.2618112	-6.11448271031e-18	-6.11448271031e-18	2.37928222905e-17
3321.46179468	-6.11448271031e-18	-6.11448271031e-18	2.32060704708e-17
3321.66177816	-6.11448271031e-18	-6.11448271031e-18	2.36370547486e-17
3321.86176163	-5.82704764514e-18	-5.82704764514e-18	2.37372241416e-17
3322.06174511	-5.82704764514e-18	-5.82704764514e-18	2.3353424728e-17
3322.26172859	-5.82704764514e-18	-5.82704764514e-18	2.32500882486e-17
3322.46171206	-5.82704764514e-18	-5.82704764514e-18	2.3000788295e-17
3322.66169554	-5.51815881837e-18	-5.51815881837e-18	2.31833493634e-17
3322.86267894	-5.51815881837e-18	-5.51815881837e-18	2.2475079266e-17
3323.06266241	-5.01130091212e-18	-5.01130091212e-18	2.23640194095e-17
3323.26264589	-3.52540016055e-18	-3.52540016055e-18	2.21752446364e-17
3323.46262937	-3.52540016055e-18	-3.52540016055e-18	2.26730569381e-17
3323.66261284	-5.01130091212e-18	-5.01130091212e-18	2.37933992053e-17
3323.86259632	-5.01130091212e-18	-5.01130091212e-18	2.31675799975e-17
3324.0625798	-3.52540016055e-18	-3.52540016055e-18	2.20134927696e-17
3324.26256328	-3.52540016055e-18	-3.52540016055e-18	2.25474209504e-17
3324.46254675	-2.37157753195e-18	-2.37157753195e-18	2.30307426428e-17
3324.66253023	-2.37157753195e-18	-2.37157753195e-18	2.31639021086e-17
3324.86251371	-2.37157753195e-18	-2.37157753195e-18	2.30599241646e-17
3325.06249718	-3.45800448332e-18	-3.45800448332e-18	2.26786372324e-17
3325.26248066	-3.52540016055e-18	-3.52540016055e-18	2.22419461689e-17
3325.46246414	-3.45800448332e-18	-3.45800448332e-18	2.19323009035e-17
3325.66244762	-3.45800448332e-18	-3.45800448332e-18	2.24127572033e-17
3325.86243109	-2.37157753195e-18	-2.37157753195e-18	2.27340447516e-17
3326.06241457	-1.53029477484e-18	-1.53029477484e-18	2.30116371162e-17
3326.26239805	-1.36287521613e-18	-1.36287521613e-18	2.32206737333e-17
3326.46238153	-1.53029477484e-18	-1.53029477484e-18	2.22757617713e-17
3326.662365	-1.53029477484e-18	-1.53029477484e-18	2.35068055236e-17
3326.86234848	-2.37157753195e-18	-2.37157753195e-18	2.25471109063e-17
3327.06233196	-2.37157753195e-18	-2.37157753195e-18	2.18832737557e-17
3327.26231544	-2.37157753195e-18	-2.37157753195e-18	2.20065610003e-17
3327.46229891	-3.45800448332e-18	-3.45800448332e-18	2.26708427219e-17
