#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3300.04656415	0.0	0.0	5.55012900171e-17
3300.24654763	0.0	0.0	5.69430227873e-17
3300.4465311	0.0	0.0	5.76660117854e-17
3300.64651458	0.0	0.0	5.86639716999e-17
3300.84649805	0.0	0.0	5.71657098206e-17
3301.04648153	0.0	0.0	5.73100879487e-17
3301.246465	0.0	0.0	5.57628870446e-17
3301.44644848	0.0	0.0	5.56653354648e-17
3301.64643195	0.0	0.0	5.51109022473e-17
3301.84641543	0.0	0.0	5.4863437529e-17
3302.0463989	0.0	0.0	5.37765658265e-17
3302.24638238	0.0	0.0	5.3380292394e-17
3302.44736577	0.0	0.0	5.27226754468e-17
3302.64734925	0.0	0.0	5.38786969924e-17
3302.84733272	0.0	0.0	5.28496811182e-17
3303.0473162	0.0	0.0	5.40821765317e-17
3303.24729967	0.0	0.0	5.35946276699e-17
3303.44728315	0.0	0.0	5.32561618112e-17
3303.64726662	0.0	0.0	5.29265377271e-17
3303.8472501	0.0	0.0	5.28302598291e-17
3304.04723357	0.0	0.0	5.28401870709e-17
3304.24721705	0.0	0.0	5.31716203599e-17
3304.44720052	0.0	0.0	5.49075226293e-17
3304.647184	0.0	0.0	5.37688865077e-17
3304.84716747	0.0	0.0	5.22675866493e-17
3305.04715095	-1.86901549094e-18	-1.86901549094e-18	5.16446508151e-17
3305.24713442	4.84109932223e-19	4.84109932223e-19	5.25744869244e-17
3305.4471179	-1.86901549094e-18	-1.86901549094e-18	5.30794323633e-17
3305.64710138	4.84109932223e-19	4.84109932223e-19	5.26647997897e-17
3305.84708485	4.84109932223e-19	4.84109932223e-19	5.32741219211e-17
3306.04706833	4.84109932223e-19	4.84109932223e-19	5.37791648043e-17
3306.2470518	4.84109932223e-19	4.84109932223e-19	5.38477846522e-17
3306.44703528	4.84109932223e-19	4.84109932223e-19	5.11767096222e-17
3306.64701875	-1.86901549094e-18	-1.86901549094e-18	5.21437590929e-17
3306.84700223	-1.86901549094e-18	-1.86901549094e-18	5.22685677133e-17
3307.0469857	-2.38111216213e-18	-2.38111216213e-18	5.17575660994e-17
3307.24696918	-2.55009868098e-18	-2.55009868098e-18	5.24940436667e-17
