#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3300.18555267	0.0	0.0	5.63597873943e-17
3300.38553614	0.0	0.0	5.86302204058e-17
3300.58551962	0.0	0.0	5.74040150016e-17
3300.78550309	0.0	0.0	5.56924072859e-17
3300.98548657	0.0	0.0	5.67657661246e-17
3301.18547004	0.0	0.0	5.5092370725e-17
3301.38545352	0.0	0.0	5.40034112737e-17
3301.58543699	0.0	0.0	5.16137289928e-17
3301.78542047	0.0	0.0	5.06429147369e-17
3301.98540394	0.0	0.0	5.2603412141e-17
3302.18538742	0.0	0.0	5.24518056792e-17
3302.38537089	0.0	0.0	5.32111201702e-17
3302.58535437	0.0	0.0	5.38979703091e-17
3302.78533784	0.0	0.0	5.28834717058e-17
3302.98532132	0.0	0.0	5.70903929928e-17
3303.18530479	0.0	0.0	5.65707168328e-17
3303.38628819	0.0	0.0	5.6385472911e-17
3303.58627166	0.0	0.0	5.42776588719e-17
3303.78625514	0.0	0.0	5.29372935337e-17
3303.98623861	0.0	0.0	5.42444326886e-17
3304.18622209	0.0	0.0	5.152132275e-17
3304.38620556	-2.06187992518e-18	-2.06187992518e-18	5.33332007058e-17
3304.58618904	-3.27924207911e-18	-3.27924207911e-18	5.33655146222e-17
3304.78617251	-3.27924207911e-18	-3.27924207911e-18	5.27250064462e-17
3304.98615599	-3.27924207911e-18	-3.27924207911e-18	5.3320540723e-17
3305.18613946	-4.59200963721e-18	-4.59200963721e-18	5.46386415213e-17
3305.38612294	-4.59200963721e-18	-4.59200963721e-18	5.39077928704e-17
3305.58610642	-4.59200963721e-18	-4.59200963721e-18	5.35247333471e-17
3305.78608989	-4.59200963721e-18	-4.59200963721e-18	5.46462063774e-17
3305.98607337	-4.59200963721e-18	-4.59200963721e-18	5.41648987015e-17
3306.18605684	-4.59200963721e-18	-4.59200963721e-18	5.49550745864e-17
3306.38604032	-5.09716899008e-18	-5.09716899008e-18	5.47335811991e-17
3306.58602379	-5.09716899008e-18	-5.09716899008e-18	5.73358475727e-17
3306.78600727	-4.59200963721e-18	-4.59200963721e-18	5.67528274598e-17
3306.98599074	-3.27924207911e-18	-3.27924207911e-18	5.6242310549e-17
3307.18597422	-2.06187992518e-18	-2.06187992518e-18	5.31596062113e-17
3307.3859577	-2.06187992518e-18	-2.06187992518e-18	5.36187165597e-17
3307.58594117	-3.27924207911e-18	-3.27924207911e-18	5.36619485835e-17
3307.78592465	-3.27924207911e-18	-3.27924207911e-18	5.3722385549e-17
3307.98590812	-3.27924207911e-18	-3.27924207911e-18	5.25706158468e-17
3308.1858916	-3.27924207911e-18	-3.27924207911e-18	5.18394657203e-17
3308.38587507	-3.27924207911e-18	-3.27924207911e-18	5.38177278117e-17
3308.58585855	-4.59200963721e-18	-4.59200963721e-18	5.33584673269e-17
3308.78584203	-3.27924207911e-18	-3.27924207911e-18	5.55247426155e-17
3308.9858255	-2.06187992518e-18	-2.06187992518e-18	5.43349567558e-17
3309.18580898	-3.27924207911e-18	-3.27924207911e-18	5.4114593376e-17
3309.38679237	-3.27924207911e-18	-3.27924207911e-18	5.33945352361e-17
3309.58677585	-5.13587327281e-18	-5.13587327281e-18	5.22889871703e-17
3309.78675932	-8.05838467757e-18	-8.05838467757e-18	5.35158976885e-17
3309.9867428	-5.13587327281e-18	-5.13587327281e-18	5.53655025012e-17
3310.18672627	-5.13587327281e-18	-5.13587327281e-18	5.46058393183e-17
3310.38670975	-8.05838467757e-18	-8.05838467757e-18	5.62110569077e-17
3310.58669323	-8.05838467757e-18	-8.05838467757e-18	5.52413619215e-17
3310.7866767	-5.13587327281e-18	-5.13587327281e-18	5.5588741444e-17
3310.98666018	-8.05838467757e-18	-8.05838467757e-18	5.55435160283e-17
3311.18664365	-5.13587327281e-18	-5.13587327281e-18	5.54215859655e-17
3311.38662713	-8.05838467757e-18	-8.05838467757e-18	5.40137253053e-17
3311.58661061	-5.13587327281e-18	-5.13587327281e-18	5.3582053745e-17
3311.78659408	-5.13587327281e-18	-5.13587327281e-18	5.6054182294e-17
3311.98657756	-5.13587327281e-18	-5.13587327281e-18	5.44469992316e-17
3312.18656103	-8.05838467757e-18	-8.05838467757e-18	5.5609208654e-17
3312.38654451	-5.13587327281e-18	-5.13587327281e-18	5.2381709826e-17
3312.58652799	-3.27924207911e-18	-3.27924207911e-18	5.38864011874e-17
3312.78651146	-1.91973108558e-18	-1.91973108558e-18	5.29891326665e-17
3312.98649494	-3.27924207911e-18	-3.27924207911e-18	5.32355284404e-17
3313.18647842	-3.27924207911e-18	-3.27924207911e-18	5.53589918717e-17
3313.38646189	-3.27924207911e-18	-3.27924207911e-18	5.55110474824e-17
3313.58644537	-5.13587327281e-18	-5.13587327281e-18	5.5097092497e-17
3313.78642884	-6.96710675532e-18	-6.96710675532e-18	5.47160576136e-17
3313.98641232	-6.96710675532e-18	-6.96710675532e-18	5.48121575456e-17
3314.1863958	-9.0860353359e-18	-9.0860353359e-18	5.43585810491e-17
3314.38637927	-9.0860353359e-18	-9.0860353359e-18	5.42496323512e-17
3314.58636275	-9.0860353359e-18	-9.0860353359e-18	5.36533576303e-17
3314.78634623	-6.96710675532e-18	-6.96710675532e-18	5.47756287576e-17
3314.9863297	-6.96710675532e-18	-6.96710675532e-18	5.49486380968e-17
3315.18631318	-9.0860353359e-18	-9.0860353359e-18	5.4750946441e-17
3315.38629666	-6.96710675532e-18	-6.96710675532e-18	5.45541680175e-17
3315.58728005	-6.96710675532e-18	-6.96710675532e-18	5.40294233834e-17
3315.78726353	-9.0860353359e-18	-9.0860353359e-18	5.59665549033e-17
3315.987247	-6.96710675532e-18	-6.96710675532e-18	5.32929003245e-17
3316.18723048	-5.13587327281e-18	-5.13587327281e-18	5.76093860509e-17
3316.38721395	-6.96710675532e-18	-6.96710675532e-18	5.42275500485e-17
3316.58719743	-5.13587327281e-18	-5.13587327281e-18	5.39645235046e-17
3316.78718091	-4.37069543328e-18	-4.37069543328e-18	5.5543790732e-17
3316.98716438	-4.37069543328e-18	-4.37069543328e-18	5.50298655803e-17
3317.18714786	-4.37069543328e-18	-4.37069543328e-18	5.44253703554e-17
3317.38713134	-4.37069543328e-18	-4.37069543328e-18	5.63621382846e-17
3317.58711481	-4.37069543328e-18	-4.37069543328e-18	5.47187239162e-17
3317.78709829	-4.37069543328e-18	-4.37069543328e-18	5.54889248859e-17
3317.98708177	-4.37069543328e-18	-4.37069543328e-18	5.38684119258e-17
3318.18706524	-1.75129637811e-18	-1.75129637811e-18	5.31010351777e-17
3318.38704872	-1.75129637811e-18	-1.75129637811e-18	5.34082850882e-17
3318.5870322	-4.37069543328e-18	-4.37069543328e-18	5.44795094994e-17
3318.78701567	-1.75129637811e-18	-1.75129637811e-18	5.50522474365e-17
3318.98699915	-1.75129637811e-18	-1.75129637811e-18	5.59212729529e-17
3319.18698263	-4.37069543328e-18	-4.37069543328e-18	5.58177794827e-17
3319.3869661	-4.37069543328e-18	-4.37069543328e-18	5.64455343744e-17
3319.58694958	-1.75129637811e-18	-1.75129637811e-18	5.53217972204e-17
3319.78693306	-2.71423095776e-19	-2.71423095776e-19	5.61766368946e-17
3319.98691654	4.41924894725e-18	4.41924894725e-18	5.40766131075e-17
3320.18690001	-2.71423095776e-19	-2.71423095776e-19	5.31775805812e-17
3320.38688349	4.41924894725e-18	4.41924894725e-18	5.42014991366e-17
3320.58686697	4.87347060169e-18	4.87347060169e-18	5.50102174707e-17
3320.78685044	4.41924894725e-18	4.41924894725e-18	5.28419310146e-17
3320.98683392	-2.71423095776e-19	-2.71423095776e-19	5.41955241766e-17
3321.1868174	-2.71423095776e-19	-2.71423095776e-19	5.48269030259e-17
3321.38680087	-2.71423095776e-19	-2.71423095776e-19	5.37538455763e-17
3321.58778427	4.41924894725e-18	4.41924894725e-18	5.41133148712e-17
3321.78776775	-2.71423095776e-19	-2.71423095776e-19	5.42689410334e-17
3321.98775122	-2.71423095776e-19	-2.71423095776e-19	5.40319251401e-17
3322.1877347	-2.71423095776e-19	-2.71423095776e-19	5.36602398293e-17
3322.38771818	4.41924894725e-18	4.41924894725e-18	5.2643906257e-17
3322.58770165	-2.71423095776e-19	-2.71423095776e-19	5.09959665323e-17
3322.78768513	-2.71423095776e-19	-2.71423095776e-19	5.03804426285e-17
